sample_id,sample_age_rep,harvest_time
lea_Spec4_diverse_ED00386.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00387.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00388.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00389.asd.ref,LE1619_m_6,ED
lea_Spec4_diverse_ED00390.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00391.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00392.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00393.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00394.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00395.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00396.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00397.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00398.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00399.asd.ref,LE1619_m_7,ED
lea_Spec4_diverse_ED00400.asd.ref,LE1619_m_8,ED
lea_Spec4_diverse_ED00401.asd.ref,LE1619_m_8,ED
lea_Spec4_diverse_ED00402.asd.ref,LE1619_m_8,ED
lea_Spec4_diverse_ED00403.asd.ref,LE1619_m_8,ED
lea_Spec4_diverse_ED00404.asd.ref,LE1619_m_8,ED
